code_colour,item_status,odm_customer,item_name,item_location,receive_qty,stock_qty,release_date,item_aging,pack_unit,pack_size,item_group,item_category,odm_ppo,mfg_date,item_cargo,arrive_date,soldout_date,soldout_status
EC24813734 LEOPARD,DISPATCHED,EVERGREEN,,,74,,,,1,,ODM,SHIRT,PO1829,2024-12-13 00:00:00+00,AIR,2024-12-20 00:00:00+00,,
EC24409738 CAMEL,SHIPPING,EVERGREEN,,,106,,,,1,,ODM,DRESS,PO1833,2024-12-11 00:00:00+00,SEA,,,
EC24180735 LEOPARD,DISPATCHED,EVERGREEN,,,78,,,,1,,ODM,TOP,PO1830,2024-12-13 00:00:00+00,AIR,2024-12-20 00:00:00+00,,
C24739078.NBO 11 DEC,SHIPPING,VINE APPAREL,,,400,,,,1,,ODM,DRESS,PO1841,2024-12-11 00:00:00+00,SEA,,,
C24271773 BEIGE LEOPARD,SHIPPING,,,,155,,,,1,"{""S"":2,""M"":2,""L"":2,""XL"":2}",BOHO,PANT,,2024-12-11 00:00:00+00,SEA,,,
C24241781 SAGE,NOT RELEASE,,,E14 FRONT,16,16,,,8,"{""S"":2,""M"":2,""L"":2,""XL"":2}",BOHO,DRESS,,2024-12-13 00:00:00+00,AIR,2024-12-20 00:00:00+00,,
C24241781 PINK,NOT RELEASE,,,F23,17,19,,,8,"{""S"":2,""M"":2,""L"":2,""XL"":2}",BOHO,DRESS,,2024-12-13 00:00:00+00,AIR,2024-12-20 00:00:00+00,,
C24241781 BLUE,NOT RELEASE,,,F22,19,19,,,8,"{""S"":2,""M"":2,""L"":2,""XL"":2}",BOHO,DRESS,,2024-12-13 00:00:00+00,AIR,2024-12-20 00:00:00+00,,
C24178774 PINK,NOT RELEASE,,,G33,11,11,,,6,"{""S/M"":2,""M/L"":2,""L/XL"":2}",BOHO,KIMONO,,,,2024-12-20 00:00:00+00,,
C24178774 CREAM,NOT RELEASE,,,G33,11,11,,,6,"{""S/M"":2,""M/L"":2,""L/XL"":2}",BOHO,KIMONO,,,,2024-12-20 00:00:00+00,,
C24160778 BLACK,NOT RELEASE,,,G14,16,16,,,8,"{""S"":2,""M"":2,""L"":2,""XL"":2}",BOHO,TOP,,,,2024-12-20 00:00:00+00,,
C24119812 BROWN,NOT RELEASE,,,G13,23,23,,,6,"{""S/M"":2,""M/L"":2,""L/XL"":2}",BOHO,DRESS,,,,2024-12-20 00:00:00+00,,
C24119812 BLACK,NOT RELEASE,,,G32,36,36,,,6,"{""S/M"":2,""M/L"":2,""L/XL"":2}",BOHO,DRESS,,,,2024-12-20 00:00:00+00,,
C24117772 BEIGE LEOPARD,SHIPPING,,,,156,,,,1,"{""S"":2,""M"":2,""L"":2,""XL"":2}",BOHO,TOP,,2024-12-11 00:00:00+00,SEA,,,
C24105818 NAVY LEOPARD,NOT RELEASE,,,H31,21,,,,6,"{""S"":2,""M"":2,""L"":2,""XL"":2}",BOHO,DRESS,,,,2024-12-20 00:00:00+00,,
C24105736 PINK,NOT RELEASE,,,"I13,I23,I33",28,28,,NOT RELEASE,6,"{""S/M"":2,""M/L"":2,""L/XL"":2}",BOHO,DRESS,,,,2024-12-20 00:00:00+00,,
C24105736 GREEN,NOT RELEASE,,,"I13,I23,I33",28,28,,,6,"{""S/M"":2,""M/L"":2,""L/XL"":2}",BOHO,DRESS,,,,2024-12-20 00:00:00+00,,
C24105697 BLACK,NOT RELEASE,,,H13,29,29,,,6,"{""S/M"":2,""M/L"":2,""L/XL"":2}",BOHO,DRESS,,,,2024-12-20 00:00:00+00,,
C24105683SS BLACK,SHIPPING,SHE STREET,,,144,,,,1,"{""S/M"":2,""M/L"":2,""L/XL"":2}",ODM,DRESS,PO1849,2024-12-11 00:00:00+00,SEA,,,
C24105605SS PINK,SHIPPING,SHE STREET,,,144,,,,1,"{""S/M"":2,""M/L"":2,""L/XL"":2}",ODM,DRESS,PO1849,2024-12-11 00:00:00+00,SEA,,,
C089149 WHITE VINE APPAREL,SHIPPING,VINE APPAREL,,,510,,,,1,,ODM,TOP,,2024-12-11 00:00:00+00,SEA,,,
C089149 PINK VINE APPAREL,SHIPPING,VINE APPAREL,,,317,,,,1,,ODM,TOP,,2024-12-11 00:00:00+00,SEA,,,
C089149 BLACK (VINE APPAREL),SHIPPING,VINE APPAREL,,,309,,,,1,,ODM,TOP,,2024-12-11 00:00:00+00,SEA,,,
C24372466,OUT OF STOCK,,,,30,,,,8,"{""S"":2,""M"":2,""L"":2,""XL"":2}",BOHO,DRESS,,,,2024-07-24 00:00:00+00,,
C24105398,OUT OF STOCK,,,,28,,,,6,"{""S/M"":2,""M/L"":2,""L/XL"":2}",BOHO,DRESS,,,,2024-06-26 00:00:00+00,,
C24105343,OUT OF STOCK,,,,31,,,,6,"{""S/M"":2,""M/L"":2,""L/XL"":2}",BOHO,DRESS,,,,2024-06-05 00:00:00+00,,
EC24813739 NAVY MULTI,SHIPPING,EVERGREEN,,,100,,,,1,,ODM,SHIRT,PO1834,2024-12-18 00:00:00+00,SEA,,,
VA24105722 BLACK,SHIPPING,VINE APPAREL,,,300,,,,1,,ODM,DRESS,PO1852,2024-12-18 00:00:00+00,SEA,,,
VA24105604 HOT PINK,SHIPPING,VINE APPAREL,,,303,,,,1,,ODM,DRESS,PO1852,2024-12-18 00:00:00+00,SEA,,,
C24220813 OAT,NOT RELEASE,,,,18,18,,,8,"{""S"":2,""M"":2,""L"":2,""XL"":2}",BOHO,DRESS,,2024-12-20 00:00:00+00,AIR,2024-12-30 00:00:00+00,,
C24220813 FUSCHIA,NOT RELEASE,,,J22,18,18,,,8,"{""S"":2,""M"":2,""L"":2,""XL"":2}",BOHO,DRESS,,2024-12-20 00:00:00+00,AIR,2024-12-30 00:00:00+00,,
C24248829 NAVY LEOPARD,NOT RELEASE,,,,22,22,,,6,"{""S/M"":2,""M/L"":2,""L/XL"":2}",BOHO,TOP,,2024-12-20 00:00:00+00,AIR,2024-12-30 00:00:00+00,,
SS24066642 CORAL,ON HOLD,SHE STREET,,,98,,,,1,"{""S/M"":2,""M/L"":2,""L/XL"":2}",BOHO,DRESS,PO1857,2024-12-20 00:00:00+00,AIR,2024-12-30 00:00:00+00,,
C24192845 NAVY,NOT RELEASE,,,,11,11,,,8,"{""S"":2,""M"":2,""L"":2,""XL"":2}",BOHO,DRESS,,2024-12-20 00:00:00+00,AIR,2024-12-30 00:00:00+00,,
P24189799 ICE BLUE,NOT RELEASE,,,,17,17,,,7,"{ ""8"": 1, ""10"": 2, ""12"": 2, ""14"": 1, ""16"": 1 }",PRIMROSE,PANT,,2024-12-20 00:00:00+00,AIR,2024-12-30 00:00:00+00,,
P24190798 ICE BLUE,NOT RELEASE,,,,16,16,,,7,"{ ""8"": 1, ""10"": 2, ""12"": 2, ""14"": 1, ""16"": 1 }",PRIMROSE,TOP,,2024-12-20 00:00:00+00,AIR,2024-12-30 00:00:00+00,,
C24270828 NAVY LEOPARD,NOT RELEASE,,,,22,22,,,6,"{""S/M"":2,""M/L"":2,""L/XL"":2}",BOHO,PANT,,2024-12-20 00:00:00+00,AIR,2024-12-30 00:00:00+00,,
P24245797 BEIGE/BLACK,NOT RELEASE,,,,18,18,,,7,"{ ""8"": 1, ""10"": 2, ""12"": 2, ""14"": 1, ""16"": 1 }",PRIMROSE,PANT,,2024-12-20 00:00:00+00,AIR,2024-12-30 00:00:00+00,,
C24776801 BLUE/PINK,NOT RELEASE,,,,34,34,,,8,"{""S"":2,""M"":2,""L"":2,""XL"":2}",BOHO,DRESS,,2024-12-20 00:00:00+00,AIR,2024-12-30 00:00:00+00,,
C24252806 MULTI,NOT RELEASE,,,,30,30,,,8,"{""S"":2,""M"":2,""L"":2,""XL"":2}",BOHO,DRESS,,2024-12-20 00:00:00+00,AIR,2024-12-30 00:00:00+00,,
C24252790 PINK LEOPARD,NOT RELEASE,,,,19,19,,,8,"{""S"":2,""M"":2,""L"":2,""XL"":2}",BOHO,DRESS,,2024-12-20 00:00:00+00,AIR,2024-12-30 00:00:00+00,,
C24252791 DUSY PINK,NOT RELEASE,,,,17,17,,,8,"{""S"":2,""M"":2,""L"":2,""XL"":2}",BOHO,DRESS,,2024-12-20 00:00:00+00,AIR,2024-12-30 00:00:00+00,,
